,Population under 18,population between 18 and 34,population between 35 to 64,population 65 and over,Population white,population black,Population asian,population hispanic,population other race,family households,nonfamily households,population education high school or less,population education bachelors,population education masters,population education phd,owner  occupied units,renter occupied units,transportation car,number of cars,transportation public,tranportation motorcycle,household income less than 40,household income from 40 to 75,household income 75 and above,house value less than 100,house value for 100 to 500,house value 500 or more,rent less than 1000,rent bewteen 1000 and 2000,rent 2000 or more,Transportation Other means,population between 18 and 34_n,population between 35 to 64_n,population 65 and over_n,Population white_n,population black_n,Population asian_n,population hispanic_n,population other _n,family households_n,nonfamily households_n,population education high school and less_n,population education bachelors_n,population education masters_n,population education phd_n,household income less than 10_n,owner  occupied units_n,renter occupied units_n,transportation car_n,transportation public_n,tranportation motorcycle_n,household income less than 10_n,household income form 10 to 40_n,household income form 40 to 75_n,household income 75 and above_n,house value less than 100_n,house value for 100 to 500_n,house value 500 or more_n,rent less than 1000_n,rent bewteen 1000 and 2000_n,rent 2000 or more_n,Transportation Other means_n
Food Establishment,0.0006801044264856124,0.00075670620632511086,0.0010226018980232549,0.0016644466283104236,0.00019779676095223566,0.00021674494636559385,0.00040643603770218993,0.00023579768577178698,0.0016358536318585085,0.0005494057221752199,0.00046471180275872888,0.00062236667078796127,0.0015853547600225438,0.003317869404027654,0.009005749835727328,0.00072008296602263941,0.00034029079481962292,0.00067886746632543496,,0.00038021386379623556,0.11021367750889982,0.0017812851082395415,0.0030213896812316824,0.00067530715178895553,0.0083542537733236697,0.0014406211125030997,0.0011145483855482007,0.00080429151004589522,0.00065977327055177196,0.00074741389101001809,0.0010414042730847745,0.0022378516107345774,0.0036482297438277704,0.0083031238379634893,0.00055732780125350217,0.00078271779285436771,0.0021178112099176829,0.0011336763260786534,0.01676663222298513,0.00038071491096546212,0.00054912710455209414,0.0011400496895516703,0.0082831859073234718,0.018211048923431686,0.033982516039698513,0.006784821080944026,0.00062897533475140491,0.00040676996654599512,0.0016387533406474778,0.0033047800505573884,0.085860522967767652,0.006784821080944026,0.0041628139819380478,0.0041537954878949545,0.00048702271435785134,0.0060559477226333203,0.0008353206068415621,0.00041702867984815548,0.0018932000882120388,0.0010679798524795348,0.00056689128073391564,0.0024770720623503301
Food Poisoning,0.00033501599990233338,0.00037274964913005366,0.00050372852171920402,0.00081989798882639705,,,,,,0.00026100708722753157,0.00022077140652646378,0.00030391703043164414,0.00077416791975172604,0.0016201976486874539,0.0043977302695519908,0.00034481497801487886,0.0001629497828319755,0.000326674293983557,,0.00018296074223544208,0.053035352367720813,0.00084117841715186583,0.0014267944967940923,0.00031890111156578451,,,,0.0003811600119963081,0.00031267169251109804,0.00035420526526175724,0.00050112875124633423,0.00081145363703749801,0.0013228621952309336,0.0030107447718021817,0.00021974593435621472,0.00030861380383531744,0.00083502097341407733,0.00044699145273458397,0.0066108298483588922,0.00014407864008689366,0.00020781294396398522,0.00045371962783114737,0.0032965615986483513,0.007247675619475492,0.013524440795524811,0.0026265497093968695,0.00022843417806075794,0.00014773260227201441,0.00060440714125219554,0.0012188732820739715,0.031667189897451625,0.0026265497093968695,0.0016115145446121762,0.001608023292208393,0.00018853693466715636,0.0022626452349764283,0.0003120955261360531,0.00015581177356937897,0.00072723186093233568,0.00041024135821292356,0.00021775902272632217,0.00091359694393624224
For Hire Vehicle Complaint,0.0002518503030914871,0.0002802168019975682,0.00037868096123108377,0.00061636326936691656,6.7058085010914101e-05,7.3481997223300488e-05,0.00013779205603025059,7.9941355873262485e-05,0.000554595592882688,0.00020763588903082925,0.00017562767261851452,,,,,0.0002415858935680531,0.00011416664414874795,0.00024968328014392515,,0.00013984032138510339,0.040535912946452882,0.00063838081748910985,0.0010828121819106706,0.00024201804058269984,,,,0.00029063846060320962,0.00023841540698268693,0.00027008518678036411,0.00038302208863704433,0.00064858029825537455,0.0010573399612404354,0.0024064341484688334,0.00016343402472473228,0.00022952868818338845,0.00062103919608088416,0.00033244579633289557,0.0049167441120265224,0.00010500824782231464,0.00015145946066185849,0.0003721650854965392,0.0027040159912635562,0.0059449308584399538,0.011093469085786466,0.0018732654139232267,0.00017777128198072042,0.00011496797160212455,0.0004889633983806165,0.00098606449447880386,0.025618652945335354,0.0018732654139232267,0.0011493384075907816,0.0011468484328699966,0.0001344652711865815,0.0016983394741383656,0.00023425862063805277,0.00011695217681402979,0.00052763322664101022,0.00029764506089979364,0.00015799210948208567,0.00073909693643214869
Found Property,8.9971034142787877e-05,0.0001001046858011831,0.00013528003450434284,0.00022018969233650958,,,,,,6.7573146309457468e-05,5.7156373463348076e-05,7.9067125748910722e-05,0.00020140770714574926,0.0004215109993833436,0.0011441145359264927,,,8.3897741120575079e-05,,4.6988677315607888e-05,0.013620741959602996,0.00021404699115963374,0.00036306336778819449,8.1147854029872592e-05,,,,9.2887574487445523e-05,7.6197172353225742e-05,8.6318781942859146e-05,0.00012870180180831207,0.00020443809845896026,0.0003332826662822148,0.00075852877847665744,5.3897443860731965e-05,7.5694211206190406e-05,0.00020480695658361416,0.00010963432293102592,0.0016214490232487788,3.386799415367823e-05,4.8849764038487432e-05,0.00011097042427676525,0.00080627069409622276,0.0017726313546498722,0.0033077981227294662,0.0006455994433363713,5.883372687525928e-05,3.8048857865442663e-05,0.00015762801224527314,0.00031787938877450258,0.0082587313356148485,0.0006455994433363713,0.00039610630219863246,0.00039524816096476773,4.6341913741054672e-05,0.0005648529004579361,7.7912374610389023e-05,3.8897274245945063e-05,0.00017721114741342319,9.9967212261781733e-05,5.306330532257546e-05,0.00023826401185080806
GENERAL,0.0025829157045163965,0.0028738356462726256,0.0038836602130664357,0.006321272393134918,0.0005289269743599292,0.00057959618821383377,0.0010868478465356161,0.00063054498918949532,0.0043744250807199198,0.0024478314623202647,0.0020704847543280506,,,,,0.0022095839897613065,0.0010441867501042217,0.0027539943885474044,,0.0015424319168077481,0.44710914052725936,0.0060853823023582429,0.010321936229998821,0.0023070434772869781,,,,0.0026053131008597387,0.0021371802684669911,0.002421071437023917,0.0042247149356099602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GENERAL CONSTRUCTION,0.0017441956391182423,0.0019406485442039524,0.0026225645674781257,0.0042686393994606922,0.00036643633903263317,0.00040153956145526533,0.00075295941647135652,0.00043683647957939043,0.0030305663913082065,,,,,,,0.0016664251032494923,0.00078750525932356694,,,,,0.0041857287371301795,0.0070997717076851869,0.001586861383704132,,,,0.0019247737866936641,0.0015789229159546055,0.0017886582753368942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Construction/Plumbing,0.0034721796363968768,0.0038632594907728737,0.005220753384601381,0.0084976034026903284,,,,,,0.0030025504124871118,0.0025396907217064748,0.0032348687176319605,0.0082401818096282491,0.017245255004881062,0.046809091472603682,0.0034211343851466205,0.0016167311185495865,0.0037532027516827744,,0.0021020593718419365,0.60932994762365511,0.009132506110078804,0.015490422952026826,0.003462245690689961,0.036879516657461316,0.0063595638530036473,0.0049201289385800637,0.0044209460056430895,0.0036265731623966683,0.0041083070189741836,0.0057575323273516129,,,,,,,,,,,,,,,,,,0.011402806784411386,0.022995387680853893,0.59743643507884092,,,,,,,,,,,0.017236013143310705
Graffiti,0.0013919054028327456,0.0015486790203434646,0.0020928625831193584,0.0034064654844898814,,,,,,,,,,,,0.0014517472753832633,0.0006860546041605165,,,,,0.0038377886269567868,0.0065096007947292754,0.0014549529970525714,,,,0.0018290000707925028,0.0015003581953480184,0.001699657453167218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEAT/HOT WATER,0.013105830449815966,0.014581971318238674,0.019705866586410607,0.032074420418238145,0.0027423245574754885,0.0030050289310380018,0.005634973605573349,0.0032691828782980444,0.022680055858772898,0.011999458344026876,0.010149675720710051,,,,,0.010990298841835965,0.0051937036489708589,0.013773441062249259,,0.007714102536675517,2.2361089118606703,0.030021243186768826,0.05092159248549246,0.011381423521615232,,,,0.01286852818009445,0.010556260781720894,0.011958495891753993,0.021128896417657445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEATING,0.011887412578305362,0.013226320142677606,0.017873859060109701,0.029092537873246511,0.0025674324932868156,0.0028133828651982491,0.0052756025155100165,0.0030606903640778638,0.021233632686780923,,,,,,,0.010387746057879579,0.0049089542861219543,0.012436401689775944,,0.0069652657886024021,2.0190414671470442,0.027515159621309335,0.046670810288998985,0.010431336336297576,,,,0.012317613380983078,0.010104336505180486,0.011446540501853966,0.019077835518667763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
