,Unnamed: 0,BoroCT2010,311 calls,Total Households,Median Income,Total cars,Total educated,Total High School,Total bachelors,Total masters,Total PHD,Median Age,Total households,Total family households,Total non-family households,Median House Value,Total Hunits,Owner Occupied,Renter Occupied,Total Population,White only,Black only,Asian only,Hispanic only,Other Only,Median Rent,Normalized 311 calls,Normalized cars,Normalized High school,Normalized bachelors,Normalized masters,Normalized PHD,Normalized familiy household,Normalized non-family household,Normalized owner ocuppied,Normalized renter ocuppied,Normalized white only,Normalized black only,Normalized asian only,Normalized hispanic only,Normalized other only
1281,1281,3114600,837,930.0,31477.0,533.0,1923.0,284.0,203.0,52.0,19.0,33.3,930.0,775.0,155.0,501900.0,3043.0,871.0,2172.0,3088.0,127.0,761.0,56.0,2087.0,57.0,1186.0,0.271049222798,0.57311827957,91.9689119171,65.7383419689,16.8393782383,6.15284974093,0.833333333333,0.166666666667,0.286230693395,0.713769306605,0.0411269430052,0.246437823834,0.0181347150259,0.675841968912,0.0184585492228
1282,1282,3115000,559,888.0,33438.0,668.0,1664.0,404.0,100.0,71.0,0.0,31.9,888.0,539.0,349.0,454000.0,2804.0,904.0,1900.0,2804.0,45.0,1379.0,106.0,1121.0,153.0,1331.0,0.199358059914,0.752252252252,144.079885877,35.6633380884,25.3209700428,0.0,0.606981981982,0.393018018018,0.32239657632,0.67760342368,0.0160485021398,0.49179743224,0.0378031383738,0.399786019971,0.0545649072753
1283,1283,3115200,748,974.0,27155.0,511.0,1750.0,437.0,84.0,55.0,9.0,29.2,974.0,728.0,246.0,423300.0,3092.0,811.0,2281.0,3092.0,42.0,1867.0,86.0,985.0,112.0,1102.0,0.24191461837,0.524640657084,141.332470893,27.1668822768,17.787839586,2.9107373868,0.747433264887,0.252566735113,0.262289780078,0.737710219922,0.0135834411384,0.603816300129,0.0278137128072,0.318564036223,0.0362225097025
1284,1284,3115600,575,1566.0,14154.0,505.0,2337.0,415.0,95.0,13.0,0.0,26.4,1566.0,1120.0,446.0,362500.0,4397.0,236.0,4161.0,4397.0,9.0,2658.0,70.0,1650.0,10.0,548.0,0.130770980214,0.322477650064,94.3825335456,21.6056402092,2.95656129179,0.0,0.715197956577,0.284802043423,0.0536729588356,0.946327041164,0.00204685012509,0.604503070275,0.0159199454173,0.375255856266,0.00227427791676
1285,1285,3115800,948,946.0,43806.0,680.0,2003.0,566.0,201.0,39.0,27.0,36.8,946.0,716.0,230.0,393200.0,2836.0,1324.0,1512.0,2849.0,32.0,1932.0,0.0,885.0,0.0,1377.0,0.332748332748,0.718816067653,198.666198666,70.5510705511,13.689013689,9.47700947701,0.756871035941,0.243128964059,0.466854724965,0.533145275035,0.011232011232,0.678132678133,0.0,0.310635310635,0.0
1286,1286,3116000,435,849.0,24766.0,382.0,1219.0,344.0,122.0,97.0,12.0,35.9,849.0,461.0,388.0,339200.0,1915.0,548.0,1367.0,1915.0,0.0,1158.0,24.0,704.0,29.0,735.0,0.227154046997,0.449941107185,179.634464752,63.7075718016,50.6527415144,6.26631853786,0.542991755006,0.457008244994,0.286161879896,0.713838120104,0.0,0.604699738903,0.0125326370757,0.367624020888,0.0151436031332
1287,1287,3116200,462,733.0,46463.0,653.0,1419.0,428.0,166.0,89.0,0.0,34.7,733.0,487.0,246.0,365600.0,2086.0,1316.0,770.0,2086.0,4.0,1853.0,0.0,229.0,0.0,1233.0,0.221476510067,0.890859481583,205.177372963,79.5781399808,42.665388303,0.0,0.664392905866,0.335607094134,0.630872483221,0.369127516779,0.00191754554171,0.888302972196,0.0,0.109779482263,0.0
1288,1288,3116400,562,886.0,38137.0,648.0,1871.0,746.0,138.0,51.0,0.0,35.3,886.0,710.0,176.0,372100.0,2929.0,1320.0,1609.0,2929.0,44.0,2009.0,55.0,791.0,30.0,1220.0,0.19187435985,0.731376975169,254.694434961,47.1150563332,17.4120860362,0.0,0.801354401806,0.198645598194,0.450665756231,0.549334243769,0.0150221918744,0.685899624445,0.0187777398429,0.270058040287,0.0102424035507
1289,1289,3116600,901,811.0,30060.0,489.0,1377.0,719.0,119.0,49.0,4.0,25.3,811.0,622.0,189.0,432900.0,2721.0,731.0,1990.0,2721.0,78.0,1719.0,17.0,858.0,49.0,1326.0,0.331128261669,0.602959309494,264.241087835,43.7339213524,18.0080852628,1.47004777655,0.766954377312,0.233045622688,0.268651231165,0.731348768835,0.0286659316428,0.631753031974,0.00624770305035,0.315325248071,0.0180080852628
1290,1290,3116800,900,561.0,26921.0,204.0,995.0,531.0,109.0,26.0,6.0,35.2,561.0,326.0,235.0,435100.0,1539.0,394.0,1145.0,1545.0,40.0,628.0,166.0,711.0,0.0,1201.0,0.582524271845,0.363636363636,343.689320388,70.5501618123,16.8284789644,3.88349514563,0.58110516934,0.41889483066,0.256010396361,0.743989603639,0.0258899676375,0.406472491909,0.107443365696,0.460194174757,0.0
