,Neighborhood,population between 18 and 34_n,population between 35 to 64_n,population 65 and over_n,Population white_n,population black_n,Population asian_n,population hispanic_n,population other _n,family households_n,nonfamily households_n,population education high school and less_n,population education bachelors_n,population education masters_n,population education phd_n,household income less than 10_n,owner  occupied units_n,renter occupied units_n,cars per capita,transportation car_n,transportation public_n,tranportation motorcycle_n,total workers,household income form 10 to 40_n,household income form 40 to 75_n,household income 75 and above_n,house value less than 100_n,house value for 100 to 500_n,house value 500 or more_n,rent less than 1000_n,rent bewteen 1000 and 2000_n,Transportation Other means_n,rent 2000 or more_n
131,park-cemetery-etc-Brooklyn,3222.586724,4444.412957,1371.000319,3257.032629,2187.548542,1015.71339,2360.832913,216.8725265,5996.563787,3029.436213,2154.531273,1410.614464,642.1635155,75.53600854,1607.409827,2828.755761,5288.841144,1880.134328,2096.656743,1762.882237,33.85349376,9067,4604.810092,3387.576693,4973.296246,599.7418519,4176.798699,4042.459448,2880.268205,5066.039402,658.9045391,1055.692393
132,park-cemetery-etc-Manhattan,3867.790837,5678.568711,1850.640453,4491.846292,2386.495774,1139.796205,3083.694396,295.1673324,6971.516979,4404.483021,2343.789332,2184.387104,1123.489604,163.9863681,1941.403789,3883.443522,6320.170702,2297.527516,3037.796892,2324.045222,34.13990315,11431,5669.489219,4570.867358,8425.337936,848.7308071,5550.524879,4728.744314,3409.761648,5971.922716,852.401833,1983.315637
133,park-cemetery-etc-Queens,2779.15366,4266.802677,1373.043663,2908.435321,1612.350561,1236.84775,2417.780837,243.5855304,5658.734944,2750.265056,1952.313392,1422.919488,669.6663531,78.59120556,1214.705599,3323.205781,4303.824016,1772.369728,2469.485023,1656.28744,20.61974151,8477,3836.950288,3208.090313,5189.202802,475.1766563,4347.141568,3447.681776,2161.054136,4997.197998,496.8447262,1220.747867
134,park-cemetery-etc-Staten Island,1.577497431,3.312538908,1.109963658,4.416830876,0.423804827,0.27451434,0.847870211,0.036979745,4.373892816,1.626107184,1.79406313,1.100442139,0.702017506,0.045079893,0.28126377,4.114623376,1.372580309,1.334642251,2.893452151,0.960875033,0.0,6,1.649649799,1.595033555,5.018513145,0.142479701,3.228559675,2.628960621,1.129679741,4.422808743,0.188581287,0.447511517
135,Parkchester,1589.184335,2393.024331,746.7913338,1028.060352,1262.934885,434.818618,1887.899134,115.2870118,3092.778747,1631.221253,1101.150332,651.6897338,300.651104,33.98857855,889.9771143,1345.689127,2960.5366,987.7958399,1154.149654,902.1070609,7.693981524,4737,2531.864149,1885.021047,2272.019096,545.767147,2822.724776,1222.508077,1540.146248,2782.241472,255.4349888,395.6122797
136,Pelham Bay-Country Club-City Island,2519.969617,3898.661064,1309.369318,2246.033249,1797.253055,531.8323475,2994.130986,158.7503629,5070.393188,2651.606811,1813.546532,1061.800626,517.5701584,63.74283664,1424.681322,2411.958219,4594.568868,1585.404404,2158.987475,1362.568311,11.05104093,7741,3976.167497,2885.359338,3967.810166,728.747108,4550.093659,2244.159233,2509.709499,4571.194216,411.825026,639.0962855
137,Pelham Parkway,5539.959058,8318.703366,2668.337578,4274.596686,4475.050386,1402.81558,5994.813674,379.7236729,10863.07769,5644.922313,3762.345345,2440.740456,1144.197868,157.0272568,3061.335707,5070.433643,9930.745617,3367.007974,4190.372549,3095.325145,28.94202885,16532,8495.663229,6270.647321,8572.290563,1586.862361,9340.290932,5086.846708,5426.361338,9421.0647,976.7537515,1648.573964
138,Pomonok-Flushing Heights-Hillcrest,5639.682994,9169.26802,3090.048987,6267.574074,4122.516891,2854.144858,4057.845646,596.9185301,12284.83569,5581.164312,4116.034763,3140.550088,1539.906902,184.7331968,2258.155959,8142.253664,8128.740239,3745.351806,5867.58471,3457.204835,32.42519672,17917,7487.647201,6529.275959,11304.93087,1059.460089,9488.239286,7082.300626,4542.169475,10645.65261,926.5174416,2633.177916
139,Port Richmond,1529.439827,2583.30457,816.2556029,2470.85077,755.601228,491.779527,1110.386212,100.3822621,3514.884467,1409.115533,1295.520128,791.8983779,379.8894264,41.4291434,646.2500408,2594.710733,1845.16023,997.7769862,2009.778873,849.1950642,7.130816329,4942,1898.041494,1609.054583,3059.878161,236.404247,3093.868545,1553.727209,1536.704153,2829.149014,216.0330549,552.1468326
140,Prospect Heights,1937.742739,2637.42244,788.8348216,1922.490774,1603.553367,581.4025548,1118.439254,138.1140499,3227.594238,2126.405762,1115.517067,1033.014346,525.7231326,63.88118138,925.8266175,1580.36594,3225.28919,1218.497514,1076.541139,1201.374992,29.94618714,5396,2706.904857,2217.97374,3752.485085,287.2982888,2102.421821,2860.27989,1539.435012,2973.607558,389.5180344,834.9574307
